Sold_Price,DOM,Garage_Capacity,Quadrant,School_District,Total_Bedrooms,Total_Bathrooms,Total_SQ,month_sold
274900,30,2,NE,Cache,3,2,2688,8
294000,30,2,SW,Cache,3,2,1578,8
332000,30,4,NE,Cache,5,3,3323,8
285000,31,0,NW,Cache,4,1,2820,8
291000,31,2,NE,Cache,4,3,2546,11
375000,31,3,NE,Cache,3,3,3356,9
439000,31,3,NW,Cache,6,3,3575,7
314000,32,1,SE,Cache,4,2,1695,10
340000,32,2,NE,Cache,6,3,2700,8
359900,33,3,SW,Cache,3,2,1950,8
383345,34,3,NE,Cache,3,2,3651,8
290000,35,2,SE,Cache,4,3,2606,7
295000,35,2,SW,Cache,5,3,2158,5
342670,35,3,NE,Cache,3,3,3332,7
334500,35,2,NW,Cache,5,3,3189,4
385000,35,3,NE,Cache,5,4,3059,4
499900,35,3,NE,Cache,6,3,4243,3
327900,36,2,NE,Cache,5,3,3222,10
345000,38,4,NW,Cache,5,3,2878,9
430000,38,2,NE,Cache,4,3,3479,6
362000,39,4,SE,Cache,3,2,3635,7
185000,40,0,NW,Cache,4,2,1507,3
254000,40,2,NW,Cache,2,2,1324,3
300000,40,2,NE,Cache,5,3,2794,6
415000,42,3,SW,Cache,5,3,3546,6
210000,43,2,NW,Cache,4,2,1968,11
353000,43,3,NE,Cache,3,2,3108,2
479900,44,3,NE,Cache,3,2,4438,4
279900,45,2,SW,Cache,3,2,1545,5
380000,45,2,SE,Cache,5,3,3104,7
294000,46,2,SE,Cache,5,3,2180,5
501650,46,2,NE,Cache,3,3,3992,11
339000,49,2,NE,Cache,5,3,2750,12
262000,50,2,SE,Cache,5,2,2092,11
253200,52,2,NE,Cache,3,2,2240,6
254900,53,0,NE,Cache,4,2,2190,12
386505,54,3,NE,Cache,3,3,3645,9
265000,55,2,SW,Cache,3,2,1432,1
289900,57,2,SW,Cache,6,3,2833,6
394000,57,2,SW,Cache,3,2,3776,10
276500,60,2,SW,Cache,3,2,1578,6
355000,60,3,SE,Cache,3,2,3448,4
337900,62,3,SW,Cache,5,3,2880,6
400000,62,2,NE,Cache,5,3,3445,10
327000,64,2,NE,Cache,6,4,3245,6
285000,67,2,SW,Cache,6,3,2778,3
349900,67,3,NE,Cache,4,3,3241,2
325000,69,2,SE,Cache,5,3,3136,7
434000,69,3,NW,Cache,6,3,3802,3
374300,70,3,SW,Cache,3,3,3244,1
345500,71,3,SW,Cache,5,3,3388,3
317500,73,2,NW,Cache,6,3,2704,1
441900,73,2,SE,Cache,5,4,4590,12
378500,76,2,NE,Cache,6,3,3580,8
370000,78,3,NW,Cache,5,3,3176,12
270000,80,2,NE,Cache,5,3,3300,1
362900,81,3,NW,Cache,5,3,3566,8
899000,83,3,SE,Cache,6,4,6229,5
305000,84,2,NE,Cache,6,3,2560,2
330000,86,2,SW,Cache,5,3,2688,11
315000,88,2,NE,Cache,5,4,3169,6
292500,89,2,NE,Cache,5,4,2995,5
348000,91,2,NE,Cache,5,3,2436,4
368000,92,2,SE,Cache,6,3,3590,12
364900,93,3,SW,Cache,4,3,2580,9
369900,93,2,SE,Cache,3,2,3560,8
340000,96,2,NE,Cache,3,2,2806,2
303500,99,2,NE,Cache,3,2,1673,8
357915,100,3,NE,Cache,3,2,3114,4
312500,101,2,NE,Cache,5,4,3133,7
385000,101,2,NE,Cache,5,3,3354,3
341900,106,3,SE,Cache,6,4,3442,2
640000,106,3,SE,Cache,5,4,5787,9
376000,108,2,NE,Cache,4,3,3969,8
318000,131,2,NW,Cache,5,3,2640,8
579900,147,3,NE,Cache,3,4,5013,4
320000,148,3,NE,Cache,3,2,3323,2
410230,166,3,NE,Cache,3,2,3106,6
309900,173,3,NE,Cache,3,3,2918,12
390000,208,2,SW,Cache,3,2,2792,7
327000,214,3,NE,Cache,3,3,3356,3
220000,238,1,NE,Cache,3,2,1344,6
362900,242,3,NE,Cache,3,3,3332,1
575000,282,3,SE,Cache,5,4,5113,7
166400,1,2,SE,Cache,3,1,2184,2
185000,1,2,SE,Cache,2,3,1509,6
189000,1,0,SE,Cache,2,1,1840,6
195000,1,0,NE,Cache,4,1,1836,12
225000,1,0,SE,Cache,4,1,2240,5
236000,1,0,SE,Cache,4,3,2032,10
239000,1,2,SE,Cache,3,2,2516,8
241999,1,2,NW,Cache,4,3,1950,3
257900,1,2,SE,Cache,5,4,2008,3
278000,1,2,NW,Cache,3,2,1480,6
278000,1,2,SE,Cache,5,2,2142,4
270000,1,1,SW,Cache,3,2,2080,1
287900,1,2,NW,Cache,5,3,2450,7
304900,1,2,SE,Cache,3,2,3100,11
158000,2,1,SE,Cache,2,1,1183,4
185000,2,1,SE,Cache,3,1,1320,12
196400,2,2,SE,Cache,4,1,1737,7
194000,2,2,SE,Cache,3,3,1460,6
193400,2,2,SE,Cache,2,1,1866,2
195000,2,0,SE,Cache,4,2,2398,9
207000,2,2,SE,Cache,4,2,1728,4
205000,2,2,SE,Cache,3,3,1494,4
235000,2,0,SE,Cache,3,1,1563,8
232000,2,2,NW,Cache,3,3,1825,9
233000,2,0,NW,Cache,4,1,1623,7
245000,2,2,NE,Cache,4,2,2182,9
243000,2,2,NW,Cache,4,3,3574,4
250000,2,0,SE,Cache,4,2,2012,2
249900,2,2,NW,Cache,4,2,2167,11
265000,2,2,SW,Cache,4,2,2070,6
269900,2,4,NW,Cache,4,2,2788,6
270000,2,2,SE,Cache,3,3,1855,4
284000,2,2,SE,Cache,4,3,2384,4
278000,2,3,SE,Cache,4,3,2812,9
293500,2,2,SE,Cache,3,2,2953,3
326000,2,2,NW,Cache,5,3,2427,4
331000,2,2,NE,Cache,4,2,2252,10
363300,2,2,SE,Cache,3,2,3208,11
394900,2,4,SE,Cache,3,2,3386,3
178000,3,1,SE,Cache,2,1,1085,5
199800,3,2,NW,Cache,3,3,1785,7
199900,3,2,SE,Cache,4,2,1974,2
208000,3,1,SW,Cache,4,1,1784,10
210800,3,0,SW,Cache,2,1,905,6
205000,3,2,NW,Cache,3,3,1785,4
205000,3,2,SE,Cache,3,3,1460,7
209900,3,0,SE,Cache,3,1,2180,7
214900,3,0,SE,Cache,4,1,2123,6
218500,3,2,SE,Cache,4,1,2128,6
215000,3,0,SE,Cache,4,2,2028,7
230225,3,2,NE,Cache,4,2,2302,3
230000,3,0,SE,Cache,4,2,2064,7
221900,3,2,SE,Cache,3,3,1460,8
223900,3,0,SE,Cache,5,2,2185,5
228900,3,2,SE,Cache,3,3,1460,9
225500,3,2,SE,Cache,3,2,1547,6
235500,3,2,NW,Cache,3,3,1816,8
232000,3,2,SE,Cache,5,3,2260,2
235500,3,2,NW,Cache,3,3,1789,11
265000,3,0,SE,Cache,4,3,2648,5
263000,3,3,NW,Cache,4,3,1958,7
220000,3,2,SE,Cache,5,2,2548,9
295000,3,2,NW,Cache,5,3,2406,5
310000,3,2,SE,Cache,5,2,2124,9
300000,3,2,SE,Cache,4,2,1786,10
329900,3,2,NW,Cache,3,3,3717,2
394000,3,2,SE,Cache,3,2,3530,10
409900,3,3,SE,Cache,4,3,2469,9
184044,4,0,NE,Cache,3,2,2248,3
207500,4,2,SE,Cache,5,2,2160,8
213550,4,0,SE,Cache,3,1,2134,7
223000,4,2,SE,Cache,4,2,2184,7
224900,4,0,SE,Cache,6,2,2134,7
245250,4,1,SE,Cache,4,2,2062,10
249000,4,2,SE,Cache,5,3,2554,7
261900,4,2,NW,Cache,5,3,2252,12
251000,4,3,SW,Cache,4,3,2666,4
283500,4,2,SE,Cache,3,3,1928,2
290000,4,2,SE,Cache,4,3,2520,7
277000,4,0,SE,Cache,5,2,1953,9
295000,4,2,SE,Cache,6,3,3424,10
360000,4,2,SE,Cache,4,2,2470,10
415000,4,2,NW,Cache,6,3,3452,6
429132,4,2,SE,Cache,5,3,3456,9
139900,5,1,SE,Cache,2,1,983,8
182000,5,2,SE,Cache,3,3,1383,6
202350,5,2,SE,Cache,5,1,2146,12
200000,5,1,SW,Cache,2,1,1446,7
203000,5,0,SE,Cache,4,2,1962,4
215900,5,2,SE,Cache,3,3,1404,8
230000,5,1,NW,Cache,5,3,3139,9
230000,5,0,SE,Cache,5,2,2107,8
232500,5,2,SE,Cache,4,2,2155,9
225000,5,2,SE,Cache,3,3,1560,3
246000,5,2,SE,Cache,5,3,2272,4
243000,5,0,SW,Cache,4,3,1532,6
265000,5,0,SE,Cache,2,2,2164,8
264900,5,2,SE,Cache,3,4,2134,8
277000,5,2,SE,Cache,5,2,1938,8
297000,5,2,NW,Cache,3,2,2652,3
349900,5,3,SE,Cache,6,3,3126,8
440000,5,2,SE,Cache,5,3,3124,9
152500,6,1,SE,Cache,2,1,998,12
165000,6,0,NE,Cache,2,2,960,10
183900,6,2,SE,Cache,3,3,1370,7
187100,6,0,NW,Cache,4,2,1640,10
198200,6,0,SE,Cache,6,2,2236,7
210000,6,2,SW,Cache,3,2,1084,2
242500,6,2,SE,Cache,4,2,1460,9
271000,6,2,NW,Cache,3,2,1548,6
313900,6,2,NE,Cache,5,2,2052,9
328500,6,2,NW,Cache,5,3,2598,9
389000,6,4,SE,Cache,6,4,3606,7
193400,7,0,NW,Cache,4,2,1455,8
201500,7,0,SE,Cache,4,3,2164,3
199900,7,0,SE,Cache,4,3,2368,1
211000,7,2,SE,Cache,5,2,1971,7
203000,7,2,SE,Cache,3,3,1380,6
220400,7,2,SE,Cache,5,2,2129,8
225000,7,1,SE,Cache,4,2,2096,9
225000,7,2,NW,Cache,3,3,1789,4
224900,7,2,SE,Cache,3,3,1460,11
230000,7,2,SE,Cache,3,2,1836,9
232000,7,2,SE,Cache,2,3,1534,9
230000,7,2,SE,Cache,3,2,1500,9
240400,7,2,SE,Cache,3,3,1575,4
236500,7,2,SE,Cache,2,2,1587,6
275000,7,3,NE,Cache,3,2,1674,6
280000,7,2,SE,Cache,4,2,2646,1
300000,7,2,SE,Cache,5,3,2827,2
330000,7,2,SE,Cache,5,2,2325,10
366900,7,3,SE,Cache,3,2,3120,4
449900,7,2,SE,Cache,6,3,3590,10
223000,8,2,SE,Cache,2,2,1477,3
217900,8,2,SE,Cache,3,3,1404,8
251600,8,2,SE,Cache,4,2,2936,6
242500,8,0,SE,Cache,4,2,1728,4
270000,8,2,SE,Cache,3,3,1458,11
279900,8,0,SE,Cache,4,2,2012,10
450000,8,2,SE,Cache,4,4,2597,11
145000,9,1,SE,Cache,2,1,914,2
154000,9,0,SE,Cache,3,1,1584,6
209000,9,2,SE,Cache,2,3,1562,3
214000,9,2,NW,Cache,3,3,1785,12
220800,9,2,SE,Cache,3,3,1404,9
222900,9,2,SE,Cache,3,3,1404,10
223000,9,2,SE,Cache,2,2,1405,11
280000,9,4,NW,Cache,4,3,2636,1
322440,9,3,SE,Cache,4,3,2396,12
345000,9,2,NW,Cache,5,4,3245,4
340000,9,2,NW,Cache,4,3,2675,8
223900,10,2,SE,Cache,3,3,1575,11
272000,10,2,NW,Cache,5,3,2620,6
290000,10,2,NW,Cache,3,2,2184,10
208000,11,2,SE,Cache,3,2,2252,10
239900,11,2,SE,Cache,3,3,1575,6
259900,11,4,SE,Cache,4,2,2181,5
310600,11,2,SE,Cache,3,2,3078,7
340900,11,3,SE,Cache,4,3,2449,6
355000,11,2,SE,Cache,4,3,3601,9
415000,11,3,SE,Cache,4,3,4135,8
530000,11,4,SW,Cache,4,3,3786,5
107000,12,0,NE,Cache,2,2,960,5
217900,12,2,SE,Cache,3,3,1404,9
244000,12,2,SE,Cache,4,2,2038,10
294000,12,2,NW,Cache,5,2,2308,7
318000,12,2,SE,Cache,3,2,2892,3
197570,13,2,SE,Cache,3,2,1680,7
208000,13,2,SE,Cache,3,3,1460,8
222900,13,2,SE,Cache,3,3,1460,7
245000,13,2,SE,Cache,5,2,1713,8
247000,13,2,NW,Cache,4,2,2270,8
298900,13,2,SE,Cache,4,3,2598,11
144000,14,2,NW,Cache,2,1,1018,6
167000,14,0,SW,Cache,2,2,1347,12
190000,14,0,SE,Cache,3,1,1411,11
212900,14,2,SE,Cache,3,3,1404,5
220000,14,2,SE,Cache,3,3,1767,7
236900,14,2,SE,Cache,3,3,1575,4
236900,14,2,SE,Cache,3,3,1575,5
253900,14,2,SE,Cache,3,3,1697,7
417900,14,3,SE,Cache,3,2,3406,9
222900,15,2,SE,Cache,3,3,1460,7
220000,15,0,SE,Cache,5,1,2134,9
247900,15,2,SE,Cache,3,3,1736,6
296000,15,2,NW,Cache,5,3,2624,10
204900,16,2,SE,Cache,3,3,1404,1
205000,16,0,SE,Cache,3,2,1632,10
224900,17,2,SE,Cache,2,2,2534,2
244360,17,2,SE,Cache,3,3,1575,3
244900,17,2,SE,Cache,3,3,1697,3
232000,17,2,SE,Cache,4,3,2062,11
273000,17,1,NE,Cache,4,2,2604,7
233000,18,2,SE,Cache,5,3,2800,6
260000,18,2,SE,Cache,3,3,1748,1
300000,18,2,NW,Cache,5,2,2352,6
330000,18,2,SE,Cache,3,2,1649,10
196550,19,2,NW,Cache,5,3,2252,8
214900,19,2,SE,Cache,3,3,1460,4
225000,19,1,SW,Cache,4,2,1920,12
332900,19,2,SE,Cache,3,2,1539,4
400000,19,4,SE,Cache,5,3,3120,4
202000,20,2,SE,Cache,3,3,1460,6
231900,20,2,SE,Cache,3,3,1460,9
229900,20,2,SE,Cache,3,4,2105,11
234900,20,2,SE,Cache,3,3,1575,3
260000,20,3,SW,Cache,4,3,2666,7
310000,20,2,SE,Cache,5,3,2588,3
182000,21,2,NW,Cache,3,3,1785,1
181900,21,0,SE,Cache,4,2,2064,3
205000,21,0,SE,Cache,4,2,2064,7
239900,21,2,SE,Cache,3,1,2146,4
280000,21,2,SE,Cache,3,1,1760,6
321000,21,2,SE,Cache,5,3,2715,9
410000,21,2,NW,Cache,6,4,3887,7
168000,22,1,NW,Cache,3,1,1371,8
207000,22,2,SE,Cache,3,3,1460,7
210000,22,2,SE,Cache,3,3,1460,9
210900,22,2,SE,Cache,3,3,1460,4
225000,22,2,SE,Cache,3,4,2107,7
247000,22,2,SE,Cache,3,3,1575,7
263800,22,2,NW,Cache,3,3,1849,5
277000,22,2,SE,Cache,4,2,2152,12
278000,22,1,NE,Cache,3,2,1704,5
297400,22,2,SE,Cache,3,2,2785,5
175000,23,2,SE,Cache,3,2,1278,5
249000,23,2,NW,Cache,3,3,1780,11
280000,23,4,SE,Cache,2,2,2400,1
449900,23,3,NW,Cache,6,3,3870,6
200000,24,2,SE,Cache,3,3,1404,8
202700,24,2,SE,Cache,3,3,1460,8
198000,24,2,NW,Cache,2,2,1186,10
212900,24,2,SE,Cache,3,3,1404,6
280000,24,2,SE,Cache,5,2,2184,8
317000,24,2,NW,Cache,3,2,3166,6
176500,25,2,NW,Cache,3,3,1785,1
217900,25,2,SE,Cache,3,3,1461,9
222900,25,2,SE,Cache,3,3,1460,7
244900,25,2,NW,Cache,5,2,1902,9
259900,25,2,SE,Cache,3,2,2785,4
265000,25,2,SE,Cache,2,2,2112,6
267000,25,2,NW,Cache,5,2,2352,9
200400,26,2,SE,Cache,3,3,1460,5
193500,26,1,SE,Cache,3,2,1020,7
204500,26,2,NW,Cache,3,3,1785,3
216900,26,2,SE,Cache,3,3,1460,7
244900,26,2,SE,Cache,3,3,1706,2
260000,26,2,SE,Cache,5,2,2680,9
404650,26,3,SE,Cache,3,2,3530,5
193000,27,2,SE,Cache,3,3,1460,5
207000,27,2,NW,Cache,2,1,1078,12
256100,27,0,NW,Cache,4,2,2768,6
279900,27,2,SW,Cache,3,3,1670,5
369900,27,2,NW,Cache,5,3,3179,7
577000,27,3,SW,Cache,6,4,3983,10
204300,28,2,NW,Cache,3,3,1785,7
207560,28,2,SE,Cache,3,3,1460,11
213900,28,2,SE,Cache,3,3,1460,5
254500,28,2,SE,Cache,5,2,2466,6
380000,28,3,NW,Cache,3,3,3578,8
190000,29,2,NW,Cache,3,3,1789,2
199000,29,0,SE,Cache,4,2,1994,5
223750,29,2,SE,Cache,3,3,1460,7
292000,29,2,SE,Cache,6,3,2652,7
309900,29,2,SE,Cache,3,2,3018,4
175000,30,0,SE,Cache,2,1,1487,7
209000,30,1,SE,Cache,4,2,1856,12
214500,30,2,SE,Cache,4,2,1778,3
227000,30,1,NE,Cache,3,1,1647,10
285000,30,2,SE,Cache,6,3,2691,3
281500,30,2,SE,Cache,3,2,2596,7
213900,31,0,NE,Cache,3,2,2520,7
220900,31,2,SE,Cache,3,3,1460,7
203000,32,0,SE,Cache,5,2,1966,6
216900,32,2,SE,Cache,3,3,1404,8
224535,32,2,SE,Cache,3,3,1460,8
219500,32,2,NW,Cache,4,2,1911,6
296900,32,2,SE,Cache,4,3,2784,12
310900,32,2,NW,Cache,5,3,2730,9
349900,32,2,SE,Cache,6,2,2940,4
351900,32,3,SE,Cache,3,2,3078,4
195700,33,2,SE,Cache,3,3,1460,4
210455,33,2,SE,Cache,3,3,1759,12
218540,33,0,SE,Cache,3,2,1200,1
223750,33,2,SE,Cache,3,3,1404,7
180000,34,2,NW,Cache,3,3,1785,2
193750,34,2,SE,Cache,3,3,1460,5
207000,34,2,NW,Cache,3,3,1785,2
359500,34,2,NW,Cache,6,3,3042,9
374900,34,2,SE,Cache,5,4,3379,12
211553,35,2,SE,Cache,3,3,1759,11
214900,35,2,SE,Cache,3,3,1404,5
283000,35,2,SE,Cache,3,2,2794,1
308900,35,2,SE,Cache,3,2,3100,6
193000,36,2,SE,Cache,3,3,1404,5
272900,36,2,SE,Cache,3,2,2969,4
288000,36,2,SE,Cache,3,3,2956,8
287999,37,2,SE,Cache,3,2,2730,6
326900,37,4,SE,Cache,4,2,1899,8
385900,37,3,SE,Cache,4,3,2449,8
170000,38,0,SE,Cache,4,2,2080,5
209950,38,2,SE,Cache,5,1,2146,6
235000,38,2,SE,Cache,4,2,1784,10
309000,38,2,SE,Cache,5,3,2472,9
217000,39,2,NE,Cache,6,2,2600,12
241100,39,2,SE,Cache,3,1,1512,5
257500,39,5,SE,Cache,6,3,2798,10
299900,39,2,SE,Cache,4,3,2308,10
228500,40,2,NW,Cache,3,3,1789,7
264000,40,1,SE,Cache,4,2,1863,11
261000,40,2,SW,Cache,4,2,1776,12
115000,41,0,SE,Cache,1,1,1151,8
199000,41,2,SE,Cache,3,3,1404,5
245000,41,4,SW,Cache,4,2,2445,8
232700,42,2,NE,Cache,3,2,1625,12
296900,42,3,SE,Cache,3,2,3100,6
314900,42,2,SE,Cache,3,2,3070,3
373000,42,2,NW,Cache,5,3,3672,9
385600,42,3,SE,Cache,3,2,3386,5
420000,42,3,SW,Cache,4,3,2744,4
201000,43,2,SE,Cache,3,3,1460,6
226000,43,2,NW,Cache,3,3,1785,3
204900,44,2,SE,Cache,3,3,1759,9
209900,44,2,SE,Cache,3,3,1404,6
220000,44,0,NW,Cache,5,1,2067,10
238050,44,2,NW,Cache,5,2,4094,6
250000,44,2,SE,Cache,3,3,1767,9
280000,44,2,SE,Cache,4,2,2897,8
232000,45,2,NW,Cache,3,3,1785,7
280000,45,2,SE,Cache,5,3,2355,6
309000,45,3,NW,Cache,3,2,3386,12
255000,46,2,SE,Cache,4,2,1728,5
349900,46,2,SE,Cache,6,3,3590,4
205000,47,2,SE,Cache,3,3,1460,11
205000,47,2,SE,Cache,3,3,1460,11
222900,47,0,SE,Cache,5,2,2315,7
289900,47,2,SE,Cache,3,2,2785,3
365000,47,2,NW,Cache,4,2,2100,7
134000,48,1,SE,Cache,4,2,2062,4
222000,48,2,SE,Cache,3,3,1593,1
227900,48,1,NW,Cache,4,2,2129,4
240000,48,2,SE,Cache,3,3,1460,11
199000,49,2,NW,Cache,3,3,1785,3
233500,49,2,NW,Cache,3,3,1785,7
284900,49,2,SE,Cache,3,2,3034,3
305056,49,2,NW,Cache,3,2,2925,7
341200,49,2,NW,Cache,3,3,2722,5
191000,50,2,SE,Cache,3,3,1404,6
214900,50,2,SE,Cache,3,3,1460,5
225000,50,2,SE,Cache,2,2,1405,2
201900,51,2,SE,Cache,3,3,1404,2
295000,51,2,SE,Cache,3,2,2720,1
274900,52,2,SW,Cache,4,2,2464,6
302900,52,2,SE,Cache,3,2,2828,10
152500,53,0,NE,Cache,2,2,975,9
194000,53,2,NW,Cache,3,3,1785,12
212900,53,2,SE,Cache,3,3,1404,6
217900,53,2,SE,Cache,3,3,1460,6
217900,53,2,SE,Cache,3,3,1460,4
210000,54,2,SE,Cache,3,3,1404,3
215900,54,2,SE,Cache,3,3,1460,5
270400,54,2,SE,Cache,3,2,2785,6
289000,54,1,SE,Cache,6,3,2400,11
299900,54,2,NE,Cache,3,3,3797,7
304900,54,2,SW,Cache,3,2,2694,10
379900,54,4,SE,Cache,4,3,2639,7
164000,55,0,NW,Cache,4,1,1647,12
335000,55,2,NW,Cache,3,3,3361,2
250000,56,2,NW,Cache,5,3,2532,8
275000,56,2,SE,Cache,3,2,2522,5
640000,56,3,SW,Cache,6,4,4446,9
255000,57,0,NE,Cache,4,2,2220,10
395000,57,3,SE,Cache,5,3,3540,12
175000,58,0,NW,Cache,5,1,2067,7
196000,58,2,SE,Cache,3,3,1404,6
207300,58,2,SE,Cache,3,3,1767,10
206000,58,0,SE,Cache,4,2,2072,1
212000,58,2,NW,Cache,3,3,1789,9
320000,58,2,NW,Cache,4,4,2621,5
200000,59,2,SE,Cache,3,3,1404,11
309900,59,2,SE,Cache,3,2,3078,12
343900,59,2,SE,Cache,3,2,3386,3
218000,60,2,NW,Cache,3,3,1785,1
220900,60,2,SE,Cache,3,3,1460,7
349900,60,2,SW,Cache,4,3,4067,7
199000,61,2,NW,Cache,3,3,1785,4
312500,61,2,SW,Cache,6,5,3150,9
203000,62,2,SE,Cache,3,3,1404,9
205000,62,2,SE,Cache,3,3,1460,9
288000,62,2,NW,Cache,6,3,2538,10
314400,62,2,SE,Cache,3,2,2828,5
349900,62,2,SE,Cache,3,2,3414,5
285000,64,2,SE,Cache,4,3,2016,5
151500,66,0,NE,Cache,2,2,960,6
